Timestamp,Carbon_Intensity_gCO2kWh,Energy_Price_GBPkWh,Compute_Demand_Jobs,Flexibility_Window_Hours,Storage_SoC,Optimal_Action
2025-11-25 00:00:00,204.14981517368747,0.1973338949264155,1092,0,0.5,0
2025-11-25 00:30:00,215.15589224446722,0.20100030891319925,1060,0,0.50741963068235,0
2025-11-25 01:00:00,186.9252810098373,0.19401920070980003,1024,0,0.5171005046816554,0
2025-11-25 01:30:00,189.86986767604944,0.20378842543377668,980,2,0.5167204959524091,0
2025-11-25 02:00:00,188.16880620888577,0.22133449415484716,1005,1,0.5200369281036942,0
2025-11-25 02:30:00,220.21673442108207,0.20756278139369688,1013,2,0.515702834906462,0
2025-11-25 03:00:00,200.6172724969309,0.20210844014605978,952,4,0.5087965266819356,0
2025-11-25 03:30:00,196.72091558506798,0.21492144310489042,1102,8,0.5261920898170436,0
2025-11-25 04:00:00,190.87482493407055,0.2253455364251814,948,1,0.5362810209735698,0
2025-11-25 04:30:00,194.18052407040574,0.20773001126542714,975,0,0.5198785328496425,0
2025-11-25 05:00:00,199.4342180941495,0.2074461213905039,1064,2,0.51404063460157,0
2025-11-25 05:30:00,205.53664293368178,0.19178639724453495,924,0,0.5017117284170305,0
2025-11-25 06:00:00,214.1435407192886,0.19983857824793158,1054,1,0.4900148317979841,0
2025-11-25 06:30:00,219.83928067707163,0.2033316510411244,1026,4,0.5077433968362579,0
2025-11-25 07:00:00,202.05953705068333,0.20784301077985257,1049,2,0.507886701651625,0
2025-11-25 07:30:00,189.6137035160039,0.20073635615375623,999,8,0.4940136085177984,0
2025-11-25 08:00:00,207.3145235932004,0.211801035943349,1020,2,0.481921515694654,0
2025-11-25 08:30:00,213.78256331756523,0.2264733913540541,1059,0,0.4853787726320746,0
2025-11-25 09:00:00,225.3804477451313,0.2182417938313243,963,0,0.467278679377465,0
2025-11-25 09:30:00,231.9668247218475,0.19914676923048796,962,0,0.46766471584455616,0
2025-11-25 10:00:00,219.61196582279555,0.19441953911461762,927,0,0.464587445694443,0
2025-11-25 10:30:00,204.81967206915888,0.20891024524854743,961,0,0.4815651147571333,0
2025-11-25 11:00:00,202.09352461426215,0.20748881315643286,981,4,0.4624404564974994,0
2025-11-25 11:30:00,189.60386394243423,0.20147510232774568,3180,0,0.47063377314036886,0
2025-11-25 12:00:00,217.4471136914479,0.2104385031388213,1025,4,0.4632620576281027,0
2025-11-25 12:30:00,224.89474067410356,0.20862566523126008,987,0,0.4566147169967838,0
2025-11-25 13:00:00,204.20646527110486,0.21277181116765495,985,8,0.45900871197941634,0
2025-11-25 13:30:00,201.2126141214325,0.20154986887030102,1005,1,0.45086955429649955,0
2025-11-25 14:00:00,197.87474482369626,0.22917364037131305,1038,1,0.4531702602054968,0
2025-11-25 14:30:00,226.74913837747383,0.18859135725046566,1009,2,0.44060437112942874,0
2025-11-25 15:00:00,209.2196421355663,0.2091719719025112,1091,4,0.43926816287115955,0
2025-11-25 15:30:00,228.9133450495161,0.22495249625952385,1088,0,0.45011845379458404,0
2025-11-25 16:00:00,218.19703063114292,0.20906556654294228,912,0,0.458977331918045,0
2025-11-25 16:30:00,230.347119349801,0.21208939247618144,1016,0,0.47547371188512594,0
2025-11-25 17:00:00,221.62837121442755,0.2134169153787821,967,1,0.47922886710758106,0
2025-11-25 17:30:00,200.9794116200856,0.21108239928961872,1109,8,0.486896865765325,0
